1,"장례, 화장, 봉안",포포즈 반려동물 장례식장 세종점,1588-2888,세종시 부강로 시목부강로 620,http://fourpaws.co.kr
2,"장례, 화장, 봉안",펫포유,1533-4426,세종특별자치시 장군면 금암리 87-5,http://www.petforyou.kr
3,"장례, 화장, 봉안",센트럴파크(주),051-728-5411,부산광역시 기장군 일광면 차양길 175,http://www.startice.co.kr
4,"장례, 화장, 봉안",파트라슈,051-723-2201,부산 기장군 장안읍 좌동리 49-1,http://www.mypatrasche.co.kr
5,"장례, 화장, 봉안",아이별,051-727-4499,부산광역시 기장군 장안읍 기룡길 11-33,http://www.aistar.co.kr
6,장례,대구러브펫,053-593-4900,대구 달서구 장동 50,http://dglovepet.kr
7,"장례, 봉안",㈜더 포에버,032-713-5002,인천광역시 서구 설원로 79(대곡동),-
8,봉안,어게인,032-566-1936,인천광역시 서구 원당대로246번길 15 (오류동),-
9,장례,㈜하늘펫,062-946-2626,광주 광산구 지죽동 409-14,-
10,"장례, 화장, 봉안",이별공간,***********,울산광역시 울주군 삼동면 조일리 906-4번지,http://ebyulplace.modoo.at
11,화장,(주)펫콤,1833-5158,"경기 안산시 단원구 광덕서로 82, 한남법조빌딩 513호(고잔동)",https://petcom.kr
12,"장례, 화장, 봉안",㈜펫바라기,031-976-3179,경기 고양시 일산동구 설문동 515-1,http://www.petbaragi.com
13,"장례, 화장, 봉안",몽몽이엠파크,1811-1336,경기도 남양주시 화도읍 모꼬지로17번길 136,http://mmempark.com
14,"장례, 화장, 봉안",씨엘로펫,1577-7332,경기도 용인시 처인구 백암면 죽양대로 1206,http://www.cielopet.co.kr
15,"장례, 화장, 봉안",리멤버,080-200-5004,경기도 용인시 처인구 남사면 원앙로 535,http://리멤버.net
16,"장례, 화장, 봉안",(주)페어웰,031-941-3350,경기도 파주시 광탄면 수레길 302,http://farewell.kr
17,"장례, 화장",㈜아리아펫,031-635-2266,경기 이천시 마장면 장암리 525-1,http://www.aria.pet
18,"장례, 화장, 봉안",펫포레스트 김포점,1577-0996,경기도 김포시 통진읍 고정로 308,http://petforest.co.kr
19,"장례, 화장, 봉안",마스꼬따 휴㈜,031-989-2444,경기도 김포시 통진읍 애기봉로 681번길 73-20,http://www.mascotahue.com
20,"장례, 화장, 봉안",포포즈 반려동물 장례식장 경기 김포점,1588-2888,경기 김포시 월곶면 애기봉로 262,http://fourpaws.co.kr
21,"장례, 화장, 봉안",엔젤스톤,031-981-0271,경기 김포시 하성면 양택리 251-6,http://www.angelstone.co.kr
22,"장례, 화장, 봉안",아이드림펫,031-996-7444,경기 김포시 하성면 하성로 647,http://www.idreampet.co.kr
23,"장례, 화장, 봉안",ROYHILLS,1855-2004,경기도 양평군 양동면 양동금곡 4길 10,https://www.royhills.co.kr
24,"장례, 화장, 봉안",포포즈 반려동물 장례식장 경기 화성점,1588-2888,경기도 화성시 팔탄면 독곡길 24-42,http://fourpaws.co.kr
25,"장례, 화장, 봉안",(주)포이리스,1899-6415,경기도 화성시 서신면 안벼슬길 102번길 165,http://www.uripet.co.kr
26,"장례, 화장, 봉안",스토리펫,031-353-5579,경기도 화성시 정남면 서봉로851번길 83(문학리 663),http://www.스토리펫.com
27,"장례, 화장, 봉안",펫오케스트라,1588-1289,경기도 화성시 비봉면 양노남길 108,http://www.petorchestra.co.kr/
28,"장례, 화장, 봉안",㈜해피엔딩,1899-5127,경기 광주시 초월읍 지월리 134,http://www.wehappyending.com
29,"장례, 화장, 봉안",㈜펫포레스트,1577-0996,경기 광주시 오포읍 문형리 749-5,http://petforest.co.kr
30,"장례, 화장, 봉안",포포즈 반려동물 장례식장 경기 광주점,1588-2888,경기 광주시 초월읍 산수로 409-11,http://fourpaws.co.kr
31,"장례, 화장, 봉안",21그램 반려동물 장례식장,1688-1240,경기 광주시 오포읍 매산리 139,http://21gram.co.kr
32,"장례, 화장, 봉안",러브펫,031-796-4341,경기 광주시 초월읍 지월리 712-10,http://www.러브펫.net
33,"장례, 화장, 봉안",하늘강아지,1577-4428,경기도 광주시 초월읍 선장동길 31-3,https://ansky4428.kr
34,"장례, 화장, 봉안",백꽃사랑하이빛,***********,경기도 광주시 곤지암읍 부항리 236,-
35,"장례, 화장, 봉안",포포즈 반려동물 장례식장 경기 양주점,1588-2888,경기 양주시 광적면 부흥로 145,http://fourpaws.co.kr
36,화장,스타펫,1588-9344,경기도 포천시 내촌면 진금로 34,-
37,"장례, 화장, 봉안",주식회사 패투헤븐,033-745-4211,"강원 원주시 소초면 현촌길 90-3, 나동",https://www.pettoheaven.co.kr
38,"장례, 화장, 봉안",강릉 펫사랑,033-645-8888,강원 강릉시 사천면 구라미길 376,https://gpetlove.modoo.at
39,"장례, 화장, 봉안",펫 메모리얼,1566-4379,강원 횡성군 공근면 경강로초원6길 58,http://www.petmemorial.co.kr
40,"장례, 화장, 봉안",굿바이펫,043-642-1537,충북 제천시 봉양읍 장평리 37-1,http://goodbyepet.co.kr
41,"화장, 봉안",대전 스카이 펫,1588-4476,충청북도 옥천군 이원면 이원로 47,https://mamresky.modoo.at/
42,"장례, 화장, 봉안",스마일 어게인,1544-9262,충청북도 영동군 추풍령면 작동1길 81,http://www.smileagain.net
43,"장례, 화장, 봉안",펫로스엔젤,1577-2518,충청북도 청주시 서원구 남이면 구미1길 37-47,http://www.petlossangel.com
44,"장례, 화장, 봉안",우바스,1588-6326,충북 청주시 상당구 신송서원길 120-30,http://www.ubas.co.kr
45,"장례, 화장, 건조, 봉안",21그램 반려동물 장례식장 천안아산점,1688-1240,충남 천안시 동남구 광풍로 1668(구룡동),http://21gram.co.kr
46,"장례, 화장",㈜좋은친구들,041-858-4411,충남 공주시 우성면 보흥2길 36-61,http://goodfriend2012.com
47,"장례, 화장, 봉안",리멤버 파크,041-735-1700,충청남도 논산시 연산면 계백로 2172-13,http://www.rememberpark.kr
48,"장례, 화장, 봉안",위드엔젤,041-332-8787,충남 예산군 대슬면 화산리 464-1,http://www.withangel.net
49,"장례, 화장, 봉안",전주 반려동물 장례식장 아리움,063-223-7942,전라북도 전주시 완산구 콩쥐팥쥐로 1705-44(효자동3가),http://www.arium.kr
50,장례,서래안 펫타운,***********,"전라북도 군산시 서래안1길 11, 2층",
51,"장례, 화장, 봉안",펫바라기,063-625-3737,전북 남원시 보절면 신파리 403,http://www.petbaragi.co.kr
52,"장례, 화장, 봉안",전주 하늘,063-432-0600,전라북도 완주군 소양면 전진로 1630,http://전주하늘반려동물장례식장.com
53,"장례, 화장, 봉안",해피펫,063-242-2114,전라북도 완주군 이서면 팥죽이로 205-7,-
54,"장례, 화장, 봉안",오수 펫 추모공원,063-643-0486,"전라북도 임실군 오수면 춘향로 1554-95, 오수 펫 추모공원",http://www.osupet.com
55,"장례, 화장, 봉안",해늘마루,061-273-4000,전남 목포시 고하대로 1140-17(대양동),http://www.haeneul.kr
56,"장례, 화장, 봉안",전남반려동물장례식장 푸른솔 (주),1566-7112,전라남도 여수시 율촌면 조화길31,https://blog.naver.com/petgreen_sol
57,"장례, 화장, 봉안",순천 반려동물장례식장 하늘별,061-741-0703,전라남도 순천시 별량면 송산길 259,https://www.하늘별반려동물장례식장.kr
58,"장례, 건조, 봉안",타임투반려동물장례문화원,061-322-0122,전라남도 함평군 학교면 학교월봉길 217,http://www.timeto.co.kr
59,"장례, 화장, 봉안",경북반려동물장례식장,1522-0912,경상북도 김천시 봉산면 영남대로 353,http://gbpet.co.kr
60,"장례, 화장, 건조, 봉안",(주)한별소울펫,1588-9749,경상북도 구미시 옥성면 이곡3길 69,https://hanbyulsoulpet.modoo.at
61,장례,(주)젠틀펫,1577-3620,경상북도 문경시 문경읍 문경대로 2430,http://gentlepetstar.com/
62,"장례, 화장, 봉안",아이들랜드,1522-6979,경상북도 경산시 와촌면 불굴사길 82,http://아이들랜드.com
63,"장례, 화장, 봉안",하얀민들레,1599-1627,경북 청도군 화양읍 남성현로852,http://www.youngheal.com
64,"장례, 화장, 봉안",강아지 펫 헤븐,1899-6144,경상북도 성주군 선남면 오도리 91,http://petheaven.ad-media.kr
65,"장례, 화장, 봉안",스윗드림 펫,054-974-2220,경상북도 칠곡군 가산면 다부거문1길 51-68,http://www.sweetdreampet.com
66,"장례, 화장, 봉안",한별 반려동물 장례식장,1644-9040,"경남 창원시 진해구 진해대로 2507, 주식회사어울림(용원동)",https://hanbyul16449040.modoo.at
67,"화장, 장례, 봉안",별이되다,1566-9399,경상남도 김해시 생림면 나전로 137번길 31,http://www.becomestars.co.kr
68,"장례, 화장, 봉안",포포즈 반려동물 장례식장 부산점,1588-2888,경상남도 김해시 한림면 안하로 102,http://fourpaws.co.kr
69,"장례, 화장, 봉안",아이헤븐,1577-5474 ,경상남도 김해시 생림면 봉림리 872-1,http://iheaven.kr
70,"장례, 화장, 봉안",펫로스 케어,1522-2253,경상남도 김해시 상동면 묵방로 109번길 3,http://www.petlosscare.co.kr/ 
71,"장례, 화장, 봉안",메리온,055-374-6503,경남 양산시 상북면 오룡길 152,http://www.merion.co.kr
72,"장례, 화장, 봉안",(주)펫노블레스,055-374-4400,경상남도 양산시 상북면 공원로3길 19-91,http://www.petnoblesse.com
73,"장례, 화장, 봉안",한별 리멤버파크,1899-2610,경상남도 함안군 법수면 이묵골로 135-3,http://hanbyuldog.modoo.at
74,"장례, 화장, 봉안",하늘소풍,1566-4546,경남 고성군 회화면 봉오로 145-22,http://www.하늘소풍.kr
